"idRam";"capacidadeRam";"espacoLivreRam";"espacoUsadoRam";"dataColetaDadosRam";"fkServidor";"fkSetor"
12;8;0.91;6.82;"2022-09-27 00:00:00";1;1
13;8;0.88;6.85;"2022-09-27 00:00:00";1;1
14;8;0.88;6.85;"2022-09-27 00:00:00";1;1
15;8;0.87;6.86;"2022-09-27 00:00:00";1;1
16;8;0.87;6.86;"2022-09-27 00:00:00";1;1
17;8;0.86;6.87;"2022-09-27 00:00:00";1;1
18;8;0.84;6.89;"2022-09-27 00:00:00";1;1
19;8;0.82;6.91;"2022-09-27 00:00:00";1;1
20;8;0.82;6.91;"2022-09-27 00:00:00";1;1
21;8;0.76;6.97;"2022-09-27 00:00:00";1;1
22;8;0.71;7.02;"2022-09-27 00:00:00";1;1
23;8;0.71;7.02;"2022-09-27 00:00:00";1;1
24;8;0.7;7.03;"2022-09-27 00:00:00";1;1
25;8;0.63;7.1;"2022-09-27 00:00:00";1;1
26;8;0.61;7.12;"2022-09-27 00:00:00";1;1
27;8;0.59;7.14;"2022-09-27 00:00:00";1;1
28;8;0.59;7.14;"2022-09-27 00:00:00";1;1
29;8;0.7;7.03;"2022-09-27 00:00:00";1;1
30;8;0.7;7.03;"2022-09-27 00:00:00";1;1
31;8;0.7;7.03;"2022-09-27 00:00:00";1;1
32;8;0.71;7.02;"2022-09-27 00:00:00";1;1
33;8;0.7;7.02;"2022-09-27 00:00:00";1;1
34;8;0.71;7.02;"2022-09-27 00:00:00";1;1
35;8;0.69;7.04;"2022-09-27 00:00:00";1;1
36;8;0.68;7.05;"2022-09-27 00:00:00";1;1
37;8;0.65;7.08;"2022-09-27 00:00:00";1;1
38;8;0.62;7.11;"2022-09-27 00:00:00";1;1
39;8;0.66;7.07;"2022-09-27 00:00:00";1;1
40;8;0.85;6.88;"2022-09-27 00:00:00";1;1
41;8;0.87;6.86;"2022-09-27 00:00:00";1;1
42;8;0.98;6.75;"2022-09-27 00:00:00";1;1
43;8;0.96;6.77;"2022-09-27 00:00:00";1;1
44;8;0.95;6.78;"2022-09-27 00:00:00";1;1
45;8;0.93;6.8;"2022-09-27 00:00:00";1;1
46;8;0.92;6.81;"2022-09-27 00:00:00";1;1
47;8;0.99;6.74;"2022-09-27 00:00:00";1;1
48;8;0.99;6.74;"2022-09-27 00:00:00";1;1
